match_number,phase,round_name,group_name,kickoff_date_et,kickoff_time_et,kickoff_timezone_source,kickoff_at_utc,kickoff_at_oslo,kickoff_local,local_timezone,venue,city,country,home_slot,away_slot,home_team_code,away_team_code,home_team,away_team,home_score,away_score,is_finished,result_note,source_url
1,group,group_stage,A,2026-06-11,15:00,America/New_York,2026-06-11T19:00:00Z,2026-06-11T21:00:00+02:00,2026-06-11T13:00:00-06:00,America/Mexico_City,Estadio Azteca,Mexico City,Mexico,MEX,RSA,MEX,RSA,Mexico,South Africa,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
2,group,group_stage,A,2026-06-11,22:00,America/New_York,2026-06-12T02:00:00Z,2026-06-12T04:00:00+02:00,2026-06-11T20:00:00-06:00,America/Mexico_City,Estadio Akron,Guadalajara,Mexico,KOR,CZE,KOR,CZE,Korea Republic,Czechia,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
3,group,group_stage,B,2026-06-12,15:00,America/New_York,2026-06-12T19:00:00Z,2026-06-12T21:00:00+02:00,2026-06-12T15:00:00-04:00,America/New_York,BMO Field,Toronto,Canada,CAN,BIH,CAN,BIH,Canada,Bosnia & Herzegovina,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
4,group,group_stage,D,2026-06-12,21:00,America/New_York,2026-06-13T01:00:00Z,2026-06-13T03:00:00+02:00,2026-06-12T18:00:00-07:00,America/Los_Angeles,SoFi Stadium,Los Angeles,USA,USA,PAR,USA,PAR,United States,Paraguay,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
5,group,group_stage,C,2026-06-13,21:00,America/New_York,2026-06-14T01:00:00Z,2026-06-14T03:00:00+02:00,2026-06-13T21:00:00-04:00,America/New_York,Gillette Stadium,Boston,USA,HAI,SCO,HAI,SCO,Haiti,Scotland,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
6,group,group_stage,D,2026-06-13,00:00,America/New_York,2026-06-13T04:00:00Z,2026-06-13T06:00:00+02:00,2026-06-12T21:00:00-07:00,America/Vancouver,BC Place,Vancouver,Canada,AUS,TUR,AUS,TUR,Australia,Türkiye,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
7,group,group_stage,C,2026-06-13,18:00,America/New_York,2026-06-13T22:00:00Z,2026-06-14T00:00:00+02:00,2026-06-13T18:00:00-04:00,America/New_York,MetLife Stadium,New York/New Jersey,USA,BRA,MAR,BRA,MAR,Brazil,Morocco,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
8,group,group_stage,B,2026-06-13,15:00,America/New_York,2026-06-13T19:00:00Z,2026-06-13T21:00:00+02:00,2026-06-13T12:00:00-07:00,America/Los_Angeles,Levi's Stadium,San Francisco Bay Area,USA,QAT,SUI,QAT,SUI,Qatar,Switzerland,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
9,group,group_stage,E,2026-06-14,19:00,America/New_York,2026-06-14T23:00:00Z,2026-06-15T01:00:00+02:00,2026-06-14T19:00:00-04:00,America/New_York,Lincoln Financial Field,Philadelphia,USA,CIV,ECU,CIV,ECU,Côte d'Ivoire,Ecuador,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
10,group,group_stage,E,2026-06-14,13:00,America/New_York,2026-06-14T17:00:00Z,2026-06-14T19:00:00+02:00,2026-06-14T12:00:00-05:00,America/Chicago,NRG Stadium,Houston,USA,GER,CUW,GER,CUW,Germany,Curaçao,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
11,group,group_stage,F,2026-06-14,16:00,America/New_York,2026-06-14T20:00:00Z,2026-06-14T22:00:00+02:00,2026-06-14T15:00:00-05:00,America/Chicago,AT&T Stadium,Dallas,USA,NED,JPN,NED,JPN,Netherlands,Japan,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
12,group,group_stage,F,2026-06-14,22:00,America/New_York,2026-06-15T02:00:00Z,2026-06-15T04:00:00+02:00,2026-06-14T20:00:00-06:00,America/Mexico_City,Estadio BBVA,Monterrey,Mexico,SWE,TUN,SWE,TUN,Sweden,Tunisia,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
13,group,group_stage,H,2026-06-15,18:00,America/New_York,2026-06-15T22:00:00Z,2026-06-16T00:00:00+02:00,2026-06-15T18:00:00-04:00,America/New_York,Hard Rock Stadium,Miami,USA,KSA,URU,KSA,URU,Saudi Arabia,Uruguay,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
14,group,group_stage,H,2026-06-15,12:00,America/New_York,2026-06-15T16:00:00Z,2026-06-15T18:00:00+02:00,2026-06-15T12:00:00-04:00,America/New_York,Mercedes-Benz Stadium,Atlanta,USA,ESP,CPV,ESP,CPV,Spain,Cabo Verde,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
15,group,group_stage,G,2026-06-15,21:00,America/New_York,2026-06-16T01:00:00Z,2026-06-16T03:00:00+02:00,2026-06-15T18:00:00-07:00,America/Los_Angeles,SoFi Stadium,Los Angeles,USA,IRN,NZL,IRN,NZL,IR Iran,New Zealand,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
16,group,group_stage,G,2026-06-15,15:00,America/New_York,2026-06-15T19:00:00Z,2026-06-15T21:00:00+02:00,2026-06-15T12:00:00-07:00,America/Los_Angeles,Lumen Field,Seattle,USA,BEL,EGY,BEL,EGY,Belgium,Egypt,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
17,group,group_stage,I,2026-06-16,15:00,America/New_York,2026-06-16T19:00:00Z,2026-06-16T21:00:00+02:00,2026-06-16T15:00:00-04:00,America/New_York,MetLife Stadium,New York/New Jersey,USA,FRA,SEN,FRA,SEN,France,Senegal,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
